,片名,導演,主演
90,瑞喜爱小白,['李科'],"['程愫', '白妤霏', '徐洪浩']"
91,罗长姐,['金行征'],['纪录片']
92,感动她77次,['邱礼涛'],"['蔡卓妍', '周柏豪', '马里奥·毛瑞尔', '惠英红', '郑希怡', '卫诗雅']"
93,泰味儿,['郑培锋'],"['高晓攀', '吕一', '李勤勤', '李子雄', '廖威廉', '郝泽嘉', '梁天', '娜仁花']"
94,一百零八,['孔嘉欢'],"['吕星辰', '董凡', '高亮', '吴京']"
95,永远是少年,['冯小宁'],"['李仓卯', '杨易', '谢霄翰', '郑向锋']"
96,恐龙飞车,"['丁远大', '朱国洋']",['动画片']
97,无臂七子,['金行征'],['纪录片']
98,我要我们在一起,['沙漠'],"['屈楚萧', '张婧仪']"
99,白蛇传·情,['张险峰'],"['曾小敏', '文汝清', '朱红星']"
100,柳青,['田波'],"['成泰燊', '丹琳']"
101,迷妹罗曼史,['秦鹏'],"['闫妮', '盛一伦', '于小彤', '郭姝彤', '周冬雨', '魏晨', '秦海璐', '黄觉']"
102,烈焰危情,"['司肇新', '韩冬']","['柳明明', '李欣怡']"
103,岁月在这儿,"['郭本敏', '郝蕴']",['纪录片']
104,九零后,['徐蓓'],['纪录片']
105,童年周恩来,"['唐田', '果子']","['周义晟', '刘柏熙', '冯丽丽', '赵培琳']"
106,风筝·风筝,"['辛少英', '许峰']",['纪录片']
107,有一点动心,"['陈嘉上', '朱雪菲']","['任素汐', '言承旭', '柳岩', '戚薇', '连凯', '李勤勤']"
108,追球,['崔可昂'],"['张雪迎', '杨骐嘉', '王康']"
109,爱情对话框,['张中亮'],"['盛一伦', '陈米麒']"
110,建筑师,['丁文剑'],"['韩立', '吴可熙']"
111,梦境俏佳人,['范城馨'],"['梅俪儿', '李博', '徐冬冬', '田雨']"
112,诗人,['刘浩'],"['宋佳', '朱亚文', '张瑶']"
113,卧云,['魏巍'],"['田强', '王晶晶', '魏燕', '孙惟嵩']"
114,奋斗吧中华儿女,['侯克明'],[]
115,当男人恋爱时,['殷振豪'],"['邱泽', '许玮甯', '蔡振南', '钟欣凌']"
116,阳光姐妹淘,['包贝尔'],"['殷桃', '曾黎', '张歆艺', '马苏', '倪虹洁', '蒋小涵', '王玥婷', '周洁琼', '梁颂晴', '夏梦', '李子璇', '潘斌龙']"
117,夏夜骑士,['尤行'],"['杨曾曦', '林路迪', '纪凌尘', '罗世平', '黄璐']"
118,候鸟,['张运防'],"['王姬', '高丽雯']"
119,玄夜狐影,['张少军'],"['葛天', '花昆', '袁晶']"
120,火山地狱,['吴天戈'],"['陈龙', '王紫逸', '海铃', '张璐瑶']"
121,热带往事,['温仕培'],"['彭于晏', '张艾嘉', '王砚辉', '章宇', '姜珮瑶']"
122,超越,['韩博文'],"['郑恺', '李昀锐', '曹炳琨', '张蓝心', '张榕容', '李晨', '冯雷']"
123,疯狂丑小鸭2靠谱英雄,['杨菲'],['动画片']
124,潜艇总动员8：地心游记,['张超'],['动画片']
125,只是一次偶然的旅行,['李孟桥'],"['窦靖童', '贺开朗']"
126,了不起的老爸,['周青元'],"['王砚辉', '张宥浩', '龚蓓苾', '冯文娟']"
127,守岛人,['陈力'],"['刘烨', '宫哲', '侯勇', '孙维民', '宋春丽', '张一山', '陶慧敏', '马少骅']"
128,非凡父子,['杨向阳'],"['鲍振江', '秦楚明', '张优', '徐督']"
129,与父与子,['黄国睿'],"['叶繁铭伟', '万刘傲睿']"
130,随烟而散,['风剑'],"['王笙', '荣帅', '许佳程', '向璧莹', '张宝华']"
131,离秋,['汪崎'],"['谭凯', '刘德基', '谢承颖', '菅野伯虎']"
132,父爱永不止息,"['扎西尼玛', '钟岚']","['唐加思', '杜哲宇', '罗永恒']"
133,完美受害人,['杨泷杰'],"['李乃文', '冯文娟', '张峻宁', '谭凯', '姬他', '赵子琪']"
